Label (Grouping),"Alameda County, California!!Estimate","Alameda County, California!!Margin of Error","Alameda County, California!!Percent","Alameda County, California!!Percent Margin of Error","Alpine County, California!!Estimate","Alpine County, California!!Margin of Error","Alpine County, California!!Percent","Alpine County, California!!Percent Margin of Error","Amador County, California!!Estimate","Amador County, California!!Margin of Error","Amador County, California!!Percent","Amador County, California!!Percent Margin of Error","Butte County, California!!Estimate","Butte County, California!!Margin of Error","Butte County, California!!Percent","Butte County, California!!Percent Margin of Error","Calaveras County, California!!Estimate","Calaveras County, California!!Margin of Error","Calaveras County, California!!Percent","Calaveras County, California!!Percent Margin of Error","Colusa County, California!!Estimate","Colusa County, California!!Margin of Error","Colusa County, California!!Percent","Colusa County, California!!Percent Margin of Error","Contra Costa County, California!!Estimate","Contra Costa County, California!!Margin of Error","Contra Costa County, California!!Percent","Contra Costa County, California!!Percent Margin of Error","Del Norte County, California!!Estimate","Del Norte County, California!!Margin of Error","Del Norte County, California!!Percent","Del Norte County, California!!Percent Margin of Error","El Dorado County, California!!Estimate","El Dorado County, California!!Margin of Error","El Dorado County, California!!Percent","El Dorado County, California!!Percent Margin of Error","Fresno County, California!!Estimate","Fresno County, California!!Margin of Error","Fresno County, California!!Percent","Fresno County, California!!Percent Margin of Error","Glenn County, California!!Estimate","Glenn County, California!!Margin of Error","Glenn County, California!!Percent","Glenn County, California!!Percent Margin of Error","Humboldt County, California!!Estimate","Humboldt County, California!!Margin of Error","Humboldt County, California!!Percent","Humboldt County, California!!Percent Margin of Error","Imperial County, California!!Estimate","Imperial County, California!!Margin of Error","Imperial County, California!!Percent","Imperial County, California!!Percent Margin of Error","Inyo County, California!!Estimate","Inyo County, California!!Margin of Error","Inyo County, California!!Percent","Inyo County, California!!Percent Margin of Error","Kern County, California!!Estimate","Kern County, California!!Margin of Error","Kern County, California!!Percent","Kern County, California!!Percent Margin of Error","Kings County, California!!Estimate","Kings County, California!!Margin of Error","Kings County, California!!Percent","Kings County, California!!Percent Margin of Error","Lake County, California!!Estimate","Lake County, California!!Margin of Error","Lake County, California!!Percent","Lake County, California!!Percent Margin of Error","Lassen County, California!!Estimate","Lassen County, California!!Margin of Error","Lassen County, California!!Percent","Lassen County, California!!Percent Margin of Error","Los Angeles County, California!!Estimate","Los Angeles County, California!!Margin of Error","Los Angeles County, California!!Percent","Los Angeles County, California!!Percent Margin of Error","Madera County, California!!Estimate","Madera County, California!!Margin of Error","Madera County, California!!Percent","Madera County, California!!Percent Margin of Error","Marin County, California!!Estimate","Marin County, California!!Margin of Error","Marin County, California!!Percent","Marin County, California!!Percent Margin of Error","Mariposa County, California!!Estimate","Mariposa County, California!!Margin of Error","Mariposa County, California!!Percent","Mariposa County, California!!Percent Margin of Error","Mendocino County, California!!Estimate","Mendocino County, California!!Margin of Error","Mendocino County, California!!Percent","Mendocino County, California!!Percent Margin of Error","Merced County, California!!Estimate","Merced County, California!!Margin of Error","Merced County, California!!Percent","Merced County, California!!Percent Margin of Error","Modoc County, California!!Estimate","Modoc County, California!!Margin of Error","Modoc County, California!!Percent","Modoc County, California!!Percent Margin of Error","Mono County, California!!Estimate","Mono County, California!!Margin of Error","Mono County, California!!Percent","Mono County, California!!Percent Margin of Error","Monterey County, California!!Estimate","Monterey County, California!!Margin of Error","Monterey County, California!!Percent","Monterey County, California!!Percent Margin of Error","Napa County, California!!Estimate","Napa County, California!!Margin of Error","Napa County, California!!Percent","Napa County, California!!Percent Margin of Error","Nevada County, California!!Estimate","Nevada County, California!!Margin of Error","Nevada County, California!!Percent","Nevada County, California!!Percent Margin of Error","Orange County, California!!Estimate","Orange County, California!!Margin of Error","Orange County, California!!Percent","Orange County, California!!Percent Margin of Error","Placer County, California!!Estimate","Placer County, California!!Margin of Error","Placer County, California!!Percent","Placer County, California!!Percent Margin of Error","Plumas County, California!!Estimate","Plumas County, California!!Margin of Error","Plumas County, California!!Percent","Plumas County, California!!Percent Margin of Error","Riverside County, California!!Estimate","Riverside County, California!!Margin of Error","Riverside County, California!!Percent","Riverside County, California!!Percent Margin of Error","Sacramento County, California!!Estimate","Sacramento County, California!!Margin of Error","Sacramento County, California!!Percent","Sacramento County, California!!Percent Margin of Error","San Benito County, California!!Estimate","San Benito County, California!!Margin of Error","San Benito County, California!!Percent","San Benito County, California!!Percent Margin of Error","San Bernardino County, California!!Estimate","San Bernardino County, California!!Margin of Error","San Bernardino County, California!!Percent","San Bernardino County, California!!Percent Margin of Error","San Diego County, California!!Estimate","San Diego County, California!!Margin of Error","San Diego County, California!!Percent","San Diego County, California!!Percent Margin of Error","San Francisco County, California!!Estimate","San Francisco County, California!!Margin of Error","San Francisco County, California!!Percent","San Francisco County, California!!Percent Margin of Error","San Joaquin County, California!!Estimate","San Joaquin County, California!!Margin of Error","San Joaquin County, California!!Percent","San Joaquin County, California!!Percent Margin of Error","San Luis Obispo County, California!!Estimate","San Luis Obispo County, California!!Margin of Error","San Luis Obispo County, California!!Percent","San Luis Obispo County, California!!Percent Margin of Error","San Mateo County, California!!Estimate","San Mateo County, California!!Margin of Error","San Mateo County, California!!Percent","San Mateo County, California!!Percent Margin of Error","Santa Barbara County, California!!Estimate","Santa Barbara County, California!!Margin of Error","Santa Barbara County, California!!Percent","Santa Barbara County, California!!Percent Margin of Error","Santa Clara County, California!!Estimate","Santa Clara County, California!!Margin of Error","Santa Clara County, California!!Percent","Santa Clara County, California!!Percent Margin of Error","Santa Cruz County, California!!Estimate","Santa Cruz County, California!!Margin of Error","Santa Cruz County, California!!Percent","Santa Cruz County, California!!Percent Margin of Error","Shasta County, California!!Estimate","Shasta County, California!!Margin of Error","Shasta County, California!!Percent","Shasta County, California!!Percent Margin of Error","Sierra County, California!!Estimate","Sierra County, California!!Margin of Error","Sierra County, California!!Percent","Sierra County, California!!Percent Margin of Error","Siskiyou County, California!!Estimate","Siskiyou County, California!!Margin of Error","Siskiyou County, California!!Percent","Siskiyou County, California!!Percent Margin of Error","Solano County, California!!Estimate","Solano County, California!!Margin of Error","Solano County, California!!Percent","Solano County, California!!Percent Margin of Error","Sonoma County, California!!Estimate","Sonoma County, California!!Margin of Error","Sonoma County, California!!Percent","Sonoma County, California!!Percent Margin of Error","Stanislaus County, California!!Estimate","Stanislaus County, California!!Margin of Error","Stanislaus County, California!!Percent","Stanislaus County, California!!Percent Margin of Error","Sutter County, California!!Estimate","Sutter County, California!!Margin of Error","Sutter County, California!!Percent","Sutter County, California!!Percent Margin of Error","Tehama County, California!!Estimate","Tehama County, California!!Margin of Error","Tehama County, California!!Percent","Tehama County, California!!Percent Margin of Error","Trinity County, California!!Estimate","Trinity County, California!!Margin of Error","Trinity County, California!!Percent","Trinity County, California!!Percent Margin of Error","Tulare County, California!!Estimate","Tulare County, California!!Margin of Error","Tulare County, California!!Percent","Tulare County, California!!Percent Margin of Error","Tuolumne County, California!!Estimate","Tuolumne County, California!!Margin of Error","Tuolumne County, California!!Percent","Tuolumne County, California!!Percent Margin of Error","Ventura County, California!!Estimate","Ventura County, California!!Margin of Error","Ventura County, California!!Percent","Ventura County, California!!Percent Margin of Error","Yolo County, California!!Estimate","Yolo County, California!!Margin of Error","Yolo County, California!!Percent","Yolo County, California!!Percent Margin of Error","Yuba County, California!!Estimate","Yuba County, California!!Margin of Error","Yuba County, California!!Percent","Yuba County, California!!Percent Margin of Error"
SEX AND AGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total population,"1,663,823",*****,"1,663,823",(X),"1,515",±206,"1,515",(X),"40,577",*****,"40,577",(X),"213,605",*****,"213,605",(X),"45,674",*****,"45,674",(X),"21,811",*****,"21,811",(X),"1,162,648",*****,"1,162,648",(X),"27,462",*****,"27,462",(X),"191,713",*****,"191,713",(X),"1,008,280",*****,"1,008,280",(X),"28,657",*****,"28,657",(X),"136,132",*****,"136,132",(X),"179,578",*****,"179,578",(X),"18,829",*****,"18,829",(X),"906,883",*****,"906,883",(X),"152,515",*****,"152,515",(X),"68,024",*****,"68,024",(X),"31,873",*****,"31,873",(X),"9,936,690",*****,"9,936,690",(X),"157,243",*****,"157,243",(X),"260,485",*****,"260,485",(X),"17,130",*****,"17,130",(X),"91,145",*****,"91,145",(X),"282,290",*****,"282,290",(X),"8,651",*****,"8,651",(X),"13,219",*****,"13,219",(X),"437,609",*****,"437,609",(X),"137,384",*****,"137,384",(X),"102,322",*****,"102,322",(X),"3,175,227",*****,"3,175,227",(X),"406,608",*****,"406,608",(X),"19,650",*****,"19,650",(X),"2,429,487",*****,"2,429,487",(X),"1,579,211",*****,"1,579,211",(X),"64,753",*****,"64,753",(X),"2,180,563",*****,"2,180,563",(X),"3,289,701",*****,"3,289,701",(X),"851,036",*****,"851,036",(X),"779,445",*****,"779,445",(X),"281,712",*****,"281,712",(X),"754,250",*****,"754,250",(X),"445,213",*****,"445,213",(X),"1,916,831",*****,"1,916,831",(X),"268,571",*****,"268,571",(X),"181,852",*****,"181,852",(X),"2,916",±206,"2,916",(X),"44,049",*****,"44,049",(X),"450,995",*****,"450,995",(X),"488,436",*****,"488,436",(X),"552,063",*****,"552,063",(X),"99,101",*****,"99,101",(X),"65,484",*****,"65,484",(X),"15,889",*****,"15,889",(X),"473,446",*****,"473,446",(X),"54,993",*****,"54,993",(X),"842,009",*****,"842,009",(X),"217,141",*****,"217,141",(X),"81,705",*****,"81,705",(X)
        Male,"826,561",*****,49.70%,*****,882,±126,58.20%,±4.9,"22,007",±130,54.20%,±0.3,"106,376",±88,49.80%,±0.1,"22,749",±231,49.80%,±0.5,"11,112",±137,50.90%,±0.6,"573,074",±117,49.30%,±0.1,"14,809",±206,53.90%,±0.8,"96,045",±115,50.10%,±0.1,"506,526",±56,50.20%,±0.1,"14,763",±106,51.50%,±0.4,"67,729",±200,49.80%,±0.1,"92,430",±183,51.50%,±0.1,"9,617",±173,51.10%,±0.9,"464,093",±104,51.20%,±0.1,"84,277",±194,55.30%,±0.1,"34,144",±139,50.20%,±0.2,"20,127",±181,63.10%,±0.6,"4,937,101",*****,49.70%,*****,"77,200",±139,49.10%,±0.1,"127,983",±164,49.10%,±0.1,"8,635",±127,50.40%,±0.7,"45,110",±211,49.50%,±0.2,"143,519",±66,50.80%,±0.1,"4,205",±169,48.60%,±1.9,"7,279",±220,55.10%,±1.7,"223,186",±110,51.00%,±0.1,"68,760",±122,50.00%,±0.1,"50,630",±130,49.50%,±0.1,"1,578,013",*****,49.70%,*****,"200,326",±137,49.30%,±0.1,"10,167",±201,51.70%,±1.0,"1,220,393",±85,50.20%,±0.1,"779,030",*****,49.30%,*****,"32,844",±196,50.70%,±0.3,"1,094,825",±227,50.20%,±0.1,"1,667,851",*****,50.70%,*****,"438,093",±191,51.50%,±0.1,"391,204",±214,50.20%,±0.1,"142,477",±194,50.60%,±0.1,"376,542",±139,49.90%,±0.1,"223,753",±185,50.30%,±0.1,"978,952",±278,51.10%,±0.1,"134,256",±107,50.00%,±0.1,"89,879",±141,49.40%,±0.1,"1,411",±124,48.40%,±3.3,"22,035",±112,50.00%,±0.3,"225,302",±104,50.00%,±0.1,"240,478",±204,49.20%,±0.1,"275,687",±96,49.90%,±0.1,"49,828",±103,50.30%,±0.1,"32,562",±177,49.70%,±0.3,"8,243",±224,51.90%,±1.4,"238,140",±175,50.30%,±0.1,"28,367",±160,51.60%,±0.3,"419,805",±77,49.90%,±0.1,"105,912",±158,48.80%,±0.1,"41,643",±120,51.00%,±0.1
        Female,"837,262",*****,50.30%,*****,633,±127,41.80%,±4.9,"18,570",±130,45.80%,±0.3,"107,229",±88,50.20%,±0.1,"22,925",±231,50.20%,±0.5,"10,699",±137,49.10%,±0.6,"589,574",±117,50.70%,±0.1,"12,653",±206,46.10%,±0.8,"95,668",±115,49.90%,±0.1,"501,754",±56,49.80%,±0.1,"13,894",±106,48.50%,±0.4,"68,403",±200,50.20%,±0.1,"87,148",±183,48.50%,±0.1,"9,212",±173,48.90%,±0.9,"442,790",±104,48.80%,±0.1,"68,238",±194,44.70%,±0.1,"33,880",±139,49.80%,±0.2,"11,746",±181,36.90%,±0.6,"4,999,589",*****,50.30%,*****,"80,043",±139,50.90%,±0.1,"132,502",±164,50.90%,±0.1,"8,495",±127,49.60%,±0.7,"46,035",±211,50.50%,±0.2,"138,771",±66,49.20%,±0.1,"4,446",±169,51.40%,±1.9,"5,940",±220,44.90%,±1.7,"214,423",±110,49.00%,±0.1,"68,624",±122,50.00%,±0.1,"51,692",±130,50.50%,±0.1,"1,597,214",*****,50.30%,*****,"206,282",±137,50.70%,±0.1,"9,483",±201,48.30%,±1.0,"1,209,094",±85,49.80%,±0.1,"800,181",*****,50.70%,*****,"31,909",±196,49.30%,±0.3,"1,085,738",±227,49.80%,±0.1,"1,621,850",*****,49.30%,*****,"412,943",±191,48.50%,±0.1,"388,241",±214,49.80%,±0.1,"139,235",±194,49.40%,±0.1,"377,708",±139,50.10%,±0.1,"221,460",±185,49.70%,±0.1,"937,879",±278,48.90%,±0.1,"134,315",±107,50.00%,±0.1,"91,973",±141,50.60%,±0.1,"1,505",±154,51.60%,±3.3,"22,014",±112,50.00%,±0.3,"225,693",±104,50.00%,±0.1,"247,958",±204,50.80%,±0.1,"276,376",±96,50.10%,±0.1,"49,273",±103,49.70%,±0.1,"32,922",±177,50.30%,±0.3,"7,646",±224,48.10%,±1.4,"235,306",±175,49.70%,±0.1,"26,626",±160,48.40%,±0.3,"422,204",±77,50.10%,±0.1,"111,229",±158,51.20%,±0.1,"40,062",±120,49.00%,±0.1
        Sex ratio (males per 100 females),98.7,*****,(X),(X),139.3,±28.2,(X),(X),118.5,±1.5,(X),(X),99.2,±0.2,(X),(X),99.2,±2.0,(X),(X),103.9,±2.6,(X),(X),97.2,±0.1,(X),(X),117,±3.5,(X),(X),100.4,±0.2,(X),(X),101,±0.1,(X),(X),106.3,±1.6,(X),(X),99,±0.6,(X),(X),106.1,±0.4,(X),(X),104.4,±3.8,(X),(X),104.8,±0.1,(X),(X),123.5,±0.6,(X),(X),100.8,±0.8,(X),(X),171.4,±4.2,(X),(X),98.8,*****,(X),(X),96.4,±0.3,(X),(X),96.6,±0.2,(X),(X),101.6,±3.0,(X),(X),98,±0.9,(X),(X),103.4,±0.1,(X),(X),94.6,±7.4,(X),(X),122.5,±8.2,(X),(X),104.1,±0.1,(X),(X),100.2,±0.4,(X),(X),97.9,±0.5,(X),(X),98.8,*****,(X),(X),97.1,±0.1,(X),(X),107.2,±4.4,(X),(X),100.9,±0.1,(X),(X),97.4,*****,(X),(X),102.9,±1.2,(X),(X),100.8,±0.1,(X),(X),102.8,*****,(X),(X),106.1,±0.1,(X),(X),100.8,±0.1,(X),(X),102.3,±0.3,(X),(X),99.7,±0.1,(X),(X),101,±0.2,(X),(X),104.4,±0.1,(X),(X),100,±0.2,(X),(X),97.7,±0.3,(X),(X),93.8,±12.3,(X),(X),100.1,±1.0,(X),(X),99.8,±0.1,(X),(X),97,±0.2,(X),(X),99.8,±0.1,(X),(X),101.1,±0.4,(X),(X),98.9,±1.1,(X),(X),107.8,±6.1,(X),(X),101.2,±0.1,(X),(X),106.5,±1.2,(X),(X),99.4,±0.1,(X),(X),95.2,±0.3,(X),(X),103.9,±0.6,(X),(X)
        Under 5 years,"89,987",*****,5.40%,*****,135,±69,8.90%,±4.1,"1,516",±52,3.70%,±0.1,"11,263",±25,5.30%,±0.1,"1,866",±107,4.10%,±0.2,"1,483",±46,6.80%,±0.2,"62,829",*****,5.40%,*****,"1,507",±113,5.50%,±0.4,"8,555",±128,4.50%,±0.1,"72,890",*****,7.20%,*****,"2,084",±254,7.30%,±0.9,"6,566",±147,4.80%,±0.1,"13,405",±186,7.50%,±0.1,929,±32,4.90%,±0.2,"66,329",±64,7.30%,±0.1,"11,152",±9,7.30%,±0.1,"3,833",±98,5.60%,±0.1,"1,493",±63,4.70%,±0.2,"538,630",*****,5.40%,*****,"10,836",±139,6.90%,±0.1,"11,385",±190,4.40%,±0.1,598,±60,3.50%,±0.4,"4,944",±95,5.40%,±0.1,"20,677",±68,7.30%,±0.1,418,±41,4.80%,±0.5,529,±129,4.00%,±1.0,"29,202",±61,6.70%,±0.1,"6,341",±72,4.60%,±0.1,"4,209",±123,4.10%,±0.1,"174,484",*****,5.50%,*****,"20,564",±5,5.10%,±0.1,878,±68,4.50%,±0.3,"146,356",*****,6.00%,*****,"95,959",*****,6.10%,*****,"4,043",±120,6.20%,±0.2,"144,929",*****,6.60%,*****,"190,918",*****,5.80%,*****,"36,577",±129,4.30%,±0.1,"51,969",*****,6.70%,*****,"12,413",±159,4.40%,±0.1,"39,739",±64,5.30%,±0.1,"26,782",±109,6.00%,±0.1,"104,468",±190,5.50%,±0.1,"12,380",±65,4.60%,±0.1,"10,113",±22,5.60%,±0.1,0,±13,0.00%,±1.4,"2,148",±94,4.90%,±0.2,"26,128",*****,5.80%,*****,"22,874",±64,4.70%,±0.1,"37,836",*****,6.90%,*****,"6,321",±90,6.40%,±0.1,"3,771",±101,5.80%,±0.2,576,±83,3.60%,±0.5,"35,297",±43,7.50%,±0.1,"2,383",±65,4.30%,±0.1,"45,664",±46,5.40%,±0.1,"11,092",±125,5.10%,±0.1,"6,055",±64,7.40%,±0.1
        5 to 9 years,"92,408","±1,851",5.60%,±0.1,80,±44,5.30%,±2.9,"1,634",±263,4.00%,±0.6,"12,459",±734,5.80%,±0.3,"2,358",±242,5.20%,±0.5,"1,626",±194,7.50%,±0.9,"69,866","±1,454",6.00%,±0.1,"1,674",±247,6.10%,±0.9,"9,675",±463,5.00%,±0.2,"78,529","±1,515",7.80%,±0.2,"1,706",±297,6.00%,±1.0,"7,520",±450,5.50%,±0.3,"13,289",±957,7.40%,±0.5,"1,193",±178,6.30%,±0.9,"71,666","±1,895",7.90%,±0.2,"10,263",±622,6.70%,±0.4,"4,202",±414,6.20%,±0.6,"1,479",±162,4.60%,±0.5,"559,182","±4,721",5.60%,±0.1,"11,868",±727,7.50%,±0.5,"13,355",±737,5.10%,±0.3,"1,088",±185,6.40%,±1.1,"5,892",±463,6.50%,±0.5,"22,402","±1,111",7.90%,±0.4,562,±137,6.50%,±1.6,565,±186,4.30%,±1.4,"30,948","±1,110",7.10%,±0.3,"6,487",±460,4.70%,±0.3,"4,531",±445,4.40%,±0.4,"178,182","±2,443",5.60%,±0.1,"24,356",±804,6.00%,±0.2,"1,078",±165,5.50%,±0.8,"161,783","±2,810",6.70%,±0.1,"98,949","±2,041",6.30%,±0.1,"4,462",±391,6.90%,±0.6,"152,867","±2,653",7.00%,±0.1,"188,101","±3,041",5.70%,±0.1,"30,244",±897,3.60%,±0.1,"55,901","±1,744",7.20%,±0.2,"13,026",±688,4.60%,±0.2,"41,155","±1,113",5.50%,±0.1,"26,289",±855,5.90%,±0.2,"108,504","±2,207",5.70%,±0.1,"13,894",±706,5.20%,±0.3,"11,040",±650,6.10%,±0.4,119,±79,4.10%,±2.7,"2,202",±285,5.00%,±0.6,"27,485","±1,158",6.10%,±0.3,"25,981","±1,004",5.30%,±0.2,"39,117","±1,202",7.10%,±0.2,"7,271",±569,7.30%,±0.6,"4,441",±394,6.80%,±0.6,785,±153,4.90%,±1.0,"39,859","±1,307",8.40%,±0.3,"2,847",±298,5.20%,±0.5,"50,806","±1,264",6.00%,±0.2,"12,148",±645,5.60%,±0.3,"6,759",±560,8.30%,±0.7
        10 to 14 years,"94,607","±1,851",5.70%,±0.1,61,±32,4.00%,±2.0,"1,897",±225,4.70%,±0.6,"11,821",±731,5.50%,±0.3,"1,930",±242,4.20%,±0.5,"1,671",±183,7.70%,±0.8,"77,485","±1,455",6.70%,±0.1,"1,718",±235,6.30%,±0.9,"12,166",±496,6.30%,±0.3,"84,276","±1,514",8.40%,±0.2,"2,490",±297,8.70%,±1.0,"7,187",±463,5.30%,±0.3,"15,830",±967,8.80%,±0.5,"1,148",±184,6.10%,±1.0,"78,892","±1,895",8.70%,±0.2,"13,124",±620,8.60%,±0.4,"4,035",±400,5.90%,±0.6,"1,559",±160,4.90%,±0.5,"627,684","±4,721",6.30%,±0.1,"12,792",±771,8.10%,±0.5,"15,930",±750,6.10%,±0.3,718,±182,4.20%,±1.1,"5,223",±439,5.70%,±0.5,"24,755","±1,098",8.80%,±0.4,414,±137,4.80%,±1.6,877,±192,6.60%,±1.4,"33,789","±1,101",7.70%,±0.3,"9,179",±460,6.70%,±0.3,"5,403",±451,5.30%,±0.4,"203,883","±2,442",6.40%,±0.1,"27,682",±806,6.80%,±0.2,796,±164,4.10%,±0.8,"181,112","±2,810",7.50%,±0.1,"107,835","±2,041",6.80%,±0.1,"5,039",±381,7.80%,±0.6,"168,348","±2,654",7.70%,±0.1,"202,383","±3,041",6.20%,±0.1,"31,147",±905,3.70%,±0.1,"63,226","±1,771",8.10%,±0.2,"14,928",±706,5.30%,±0.3,"42,979","±1,118",5.70%,±0.1,"29,054",±852,6.50%,±0.2,"121,002","±2,202",6.30%,±0.1,"14,647",±705,5.50%,±0.3,"11,367",±659,6.30%,±0.4,219,±84,7.50%,±2.7,"3,018",±289,6.90%,±0.7,"28,550","±1,177",6.30%,±0.3,"27,632",±997,5.70%,±0.2,"45,377","±1,203",8.20%,±0.2,"7,082",±572,7.10%,±0.6,"4,647",±389,7.10%,±0.6,823,±157,5.20%,±1.0,"43,110","±1,303",9.10%,±0.3,"2,438",±294,4.40%,±0.5,"56,736","±1,271",6.70%,±0.2,"13,251",±645,6.10%,±0.3,"6,064",±558,7.40%,±0.7
        15 to 19 years,"96,579",±118,5.80%,±0.1,131,±86,8.60%,±5.5,"1,917",±262,4.70%,±0.6,"15,148",±230,7.10%,±0.1,"2,300",±255,5.00%,±0.6,"1,586",±80,7.30%,±0.4,"75,999",±147,6.50%,±0.1,"1,474",±189,5.40%,±0.7,"11,214",±181,5.80%,±0.1,"76,217",±32,7.60%,±0.1,"2,109",±199,7.40%,±0.7,"8,681",±207,6.40%,±0.2,"14,098",±256,7.90%,±0.1,835,±126,4.40%,±0.7,"70,574",±100,7.80%,±0.1,"10,728",±180,7.00%,±0.1,"3,671",±155,5.40%,±0.2,"1,466",±112,4.60%,±0.4,"625,715",*****,6.30%,*****,"11,735",±239,7.50%,±0.2,"16,040",±136,6.20%,±0.1,667,±128,3.90%,±0.7,"5,154",±130,5.70%,±0.1,"24,625",±121,8.70%,±0.1,429,±106,5.00%,±1.2,772,±222,5.80%,±1.7,"32,717",±146,7.50%,±0.1,"8,848",±97,6.40%,±0.1,"4,891",±169,4.80%,±0.2,"210,803",±71,6.60%,±0.1,"25,889",±178,6.40%,±0.1,"1,060",±193,5.40%,±1.0,"178,591",±71,7.40%,±0.1,"100,474",*****,6.40%,*****,"4,633",±113,7.20%,±0.2,"161,404",±111,7.40%,±0.1,"208,638",±153,6.30%,±0.1,"30,060",±189,3.50%,±0.1,"58,748",±159,7.50%,±0.1,"22,129",±273,7.90%,±0.1,"41,713",±299,5.50%,±0.1,"37,514",±477,8.40%,±0.1,"120,989",±115,6.30%,±0.1,"21,765",±282,8.10%,±0.1,"10,549",±151,5.80%,±0.1,123,±45,4.20%,±1.4,"2,576",±121,5.80%,±0.3,"27,239",±102,6.00%,±0.1,"29,735",±245,6.10%,±0.1,"41,285",±103,7.50%,±0.1,"7,117",±169,7.20%,±0.2,"4,038",±127,6.20%,±0.2,754,±150,4.70%,±0.9,"39,454",±134,8.30%,±0.1,"2,542",±242,4.60%,±0.4,"56,858",±128,6.80%,±0.1,"20,731",±229,9.50%,±0.1,"5,399",±177,6.60%,±0.2
        20 to 24 years,"96,354",±118,5.80%,±0.1,40,±37,2.60%,±2.4,"1,712",±330,4.20%,±0.8,"23,928",±197,11.20%,±0.1,"1,808",±224,4.00%,±0.5,"1,424",±109,6.50%,±0.5,"67,984",±133,5.80%,±0.1,"1,417",±189,5.20%,±0.7,"9,301",±175,4.90%,±0.1,"71,976",±36,7.10%,±0.1,"1,793",±185,6.30%,±0.6,"12,566",±263,9.20%,±0.2,"12,755",±221,7.10%,±0.1,857,±229,4.60%,±1.2,"66,088",±91,7.30%,±0.1,"12,164",±201,8.00%,±0.1,"3,338",±170,4.90%,±0.2,"2,132",±231,6.70%,±0.7,"675,829",*****,6.80%,*****,"10,967",±352,7.00%,±0.2,"12,210",±194,4.70%,±0.1,688,±174,4.00%,±1.0,"4,769",±172,5.20%,±0.2,"21,328",±188,7.60%,±0.1,317,±113,3.70%,±1.3,848,±223,6.40%,±1.7,"31,219",±167,7.10%,±0.1,"8,297",±85,6.00%,±0.1,"4,281",±244,4.20%,±0.2,"210,198",±72,6.60%,±0.1,"21,202",±166,5.20%,±0.1,602,±165,3.10%,±0.8,"167,645",±72,6.90%,±0.1,"98,839",*****,6.30%,*****,"4,276",±62,6.60%,±0.1,"164,273",±110,7.50%,±0.1,"242,041",±153,7.40%,±0.1,"42,665",±146,5.00%,±0.1,"53,722",±145,6.90%,±0.1,"29,689",±331,10.50%,±0.1,"40,847",±294,5.40%,±0.1,"47,683",±461,10.70%,±0.1,"120,463",±168,6.30%,±0.1,"25,714",±377,9.60%,±0.1,"9,900",±162,5.40%,±0.1,206,±153,7.10%,±5.2,"1,971",±129,4.50%,±0.3,"28,887",±134,6.40%,±0.1,"27,363",±228,5.60%,±0.1,"37,763",±201,6.80%,±0.1,"6,324",±134,6.40%,±0.1,"3,601",±81,5.50%,±0.1,398,±137,2.50%,±0.9,"34,815",±153,7.40%,±0.1,"2,705",±227,4.90%,±0.4,"55,971",±105,6.60%,±0.1,"30,793",±192,14.20%,±0.1,"5,828",±210,7.10%,±0.3
